url,clicks,impressions,ctr,position
https://sweetsworld.com.au/chocolate/australian-chocolate/gourmetdarkchocolatesugarlessblock100g/,1,4,0.2500,27.8
https://sweetsworld.com.au/chocolate/australian-chocolate/little-ozzie-treats-peppermint-honeycomb/,1,14,0.0714,1.2
https://sweetsworld.com.au/chocolate/australian-chocolate/milk-chocolate-chewy-caramel-18kg-like-cobbers/,1,12,0.0833,13.6
https://sweetsworld.com.au/chocolate/australian-chocolate/nestle-mint-pattie/,1,60,0.0167,3.4
https://sweetsworld.com.au/chocolate/australian-chocolate/pepperminteggsdarkchocolate125g/,1,18,0.0556,5.4
https://sweetsworld.com.au/chocolate/espanol-chocolate/simon-coll-50-cacao-85g/,1,5,0.2000,11.6
https://sweetsworld.com.au/chocolate/new-zealand-chocolate/whittakers-block-hundreds-thousands/,1,101,0.0099,6.1
https://sweetsworld.com.au/contact/,1,53,0.0189,1.4
https://sweetsworld.com.au/customer-services/,1,70,0.0143,6.4
https://sweetsworld.com.au/drinks/jolly-rancher-blue-raspberry-184g/,1,10,0.1000,4.3
https://sweetsworld.com.au/easterchocolate/,1,17,0.0588,11.0
https://sweetsworld.com.au/easterchocolate/2018easternougateggrrpack/,1,20,0.0500,7.5
https://sweetsworld.com.au/easterchocolate/2021eastermilkchocegg70g/,1,8,0.1250,6.4
https://sweetsworld.com.au/easterchocolate/darrell-lea-rocky-road-jersey-caramel-easter-egg-pack/,1,24,0.0417,4.2
https://sweetsworld.com.au/easterchocolate/davies-coconut-roughs-easter-egg-pack/,1,73,0.0137,2.6
https://sweetsworld.com.au/easterchocolate/mint-balls-easter-egg-pack/,1,25,0.0400,6.8
https://sweetsworld.com.au/german-chocolates/,1,10,0.1000,11.0
https://sweetsworld.com.au/grocery/chips/herrs-jalapeno-poppers-170g/,1,7,0.1429,5.6
https://sweetsworld.com.au/grocery/crackatinny-beef-jerky-original-40g/,1,10,0.1000,2.3
https://sweetsworld.com.au/grocery/hostess-ding-dongs-dessert-kit/,1,11,0.0909,7.6
https://sweetsworld.com.au/grocery/poptartsunfrostedbscinnamon384g/,1,1,1.0000,2.0
https://sweetsworld.com.au/grocery/sauce/kaitaiafirewahawerakiwifruithabanerosauce/,1,14,0.0714,7.4
https://sweetsworld.com.au/grocery/sauce/salsachamoycempasuchil250g/,1,4,0.2500,7.8
https://sweetsworld.com.au/grocery/sauce/secretaardvarkhabanerohotsauce/,1,2,0.5000,15.5
https://sweetsworld.com.au/grocery/sauce/the-chilli-factory-devils-delirium/,1,20,0.0500,7.2
https://sweetsworld.com.au/newcastle/brain-licker/,1,10,0.1000,8.0
https://sweetsworld.com.au/newcastle/lolly-shop-in-newcastle/,1,34,0.0294,10.9
https://sweetsworld.com.au/newcastle/what-is-the-name-of-the-spicy-chocolate/,1,590,0.0017,1.4
https://sweetsworld.com.au/newcastle/wholesale-candy-australia-guide/,1,9,0.1111,9.6
https://sweetsworld.com.au/party-lollies/babyshower/cosmic-puppies-pop-40g/,1,8,0.1250,3.0
https://sweetsworld.com.au/party-lollies/kidsparty/bee-dino-skinz-8g/,1,2,0.5000,13.5
https://sweetsworld.com.au/party-lollies/kidsparty/bpop-mix-15g/,1,3,0.3333,4.3
https://sweetsworld.com.au/party-lollies/kidsparty/chupa-chups-sour-infernals/,1,15,0.0667,4.5
https://sweetsworld.com.au/party-lollies/kidsparty/gummy-kangaroo/,1,44,0.0227,6.7
https://sweetsworld.com.au/party-lollies/kidsparty/jojo-soda-pop-can-6g/,1,12,0.0833,4.8
https://sweetsworld.com.au/party-lollies/kidsparty/lollinautsspaceshipstub/,1,1,1.0000,2.0
https://sweetsworld.com.au/party-lollies/kidsparty/pez-jurassic-world-17g/,1,2,0.5000,6.0
https://sweetsworld.com.au/party-lollies/kidsparty/zing-jelly-fruit-40g/,1,196,0.0051,6.9
https://sweetsworld.com.au/shop/british-lollies/uk-chocolate/0a4735cc-4950-11e7-fc9e-c50c3e5f5ad0/,1,2,0.5000,6.5
https://sweetsworld.com.au/shop/british-lollies/uk-chocolate/moofreeeastereggwchoccychumsurprise120g/,1,10,0.1000,3.3
https://sweetsworld.com.au/shop/british-lollies/uk-sweets/caramac/,1,4,0.2500,1.2
https://sweetsworld.com.au/shop/british-lollies/uk-sweets/lemonbonbon120g/,1,1,1.0000,1.0
https://sweetsworld.com.au/shop/british-lollies/uk-sweets/megasourlemon100g/,1,1,1.0000,3.0
https://sweetsworld.com.au/shop/candy/american-candy/american-chocolate/junior-mints-10g/,1,1,1.0000,3.0
https://sweetsworld.com.au/shop/candy/american-candy/jellybellybeanboozled3rdedition100g/,1,1,1.0000,1.0
https://sweetsworld.com.au/shop/candy/american-candy/jellybellybeanboozledflamingfivechallenge100g/,1,10,0.1000,1.3
https://sweetsworld.com.au/shop/candy/american-candy/savage-gummy-bears-carolina-reaper-infused/,1,2,0.5000,6.5
https://sweetsworld.com.au/shop/candy/american-candy/twizzlerscherry453g/,1,4,0.2500,1.5
https://sweetsworld.com.au/shop/candy/bpop-moustacho-pop/,1,1,1.0000,1.0
https://sweetsworld.com.au/shop/candy/dynamitexlsourlollipops/,1,1,1.0000,1.0
https://sweetsworld.com.au/shop/candy/fabulicioustwister40g/,1,1,1.0000,1.0
https://sweetsworld.com.au/shop/candy/jollyrancherdrinkmixcherry/,1,1,1.0000,24.0
https://sweetsworld.com.au/shop/candy/old-fashion-lollies/aniseedsparkles1kg/,1,4,0.2500,1.8
https://sweetsworld.com.au/shop/candy/old-fashion-lollies/granscaramelfudge100g/,1,1,1.0000,2.0
https://sweetsworld.com.au/shop/candy/tntmegasourlollipops25g/,1,1,1.0000,2.0
https://sweetsworld.com.au/shop/candy/turkish-lollies/hariboberries142g/,1,3,0.3333,5.0
https://sweetsworld.com.au/shop/chocolate/australian-chocolate/milkchocbullets180g/,1,1,1.0000,1.0
https://sweetsworld.com.au/shop/chocolate/australian-chocolate/milkchocolateegg1kg/,1,3,0.3333,2.7
https://sweetsworld.com.au/shop/chocolate/australian-chocolate/the-great-aussie-waffle/,1,23,0.0435,4.6
https://sweetsworld.com.au/shop/chocolate/darrell-lea/darrellleamilkchocolatepeanutclusters135g/,1,1,1.0000,3.0
